date,val
2021/6/28,281380
2021/6/29,269423
2021/6/30,244177
2021/7/1,268966
2021/7/2,270779
2021/7/3,265760
2021/7/4,287509
2021/7/5,300901
2021/7/6,284936
2021/7/7,320532
2021/7/8,292479
2021/7/9,275575
2021/7/10,284472
2021/7/11,299325
2021/7/12,319017
2021/7/13,281039
2021/7/14,343212
2021/7/15,319344
2021/7/16,254512
2021/7/17,363350
2021/7/18,355689
2021/7/19,339675
2021/7/20,377107
2021/7/21,270455
2021/7/22,282549
2021/7/23,251402
2021/7/24,258935
2021/7/25,245972
2021/7/26,270345
2021/7/27,224662
2021/7/28,273996
2021/7/29,336430
2021/7/30,298258
2021/7/31,252391
2021/8/1,241472
2021/8/2,257798
2021/8/3,176137
2021/8/4,220323
2021/8/5,184066
2021/8/6,338096
2021/8/7,262155
2021/8/8,294243
2021/8/9,298344
2021/8/10,243778
2021/8/11,296584
2021/8/12,261337
2021/8/13,299210
2021/8/14,298106
2021/8/15,320381
2021/8/16,330414
2021/8/17,352353
2021/8/18,309445
2021/8/19,298432
2021/8/20,295550
2021/8/21,279332
2021/8/22,299313
2021/8/23,280420
2021/8/24,238330
2021/8/25,686886
2021/8/26,583627
2021/8/27,643476
2021/8/28,501483
2021/8/29,344386
2021/8/30,374778
2021/8/31,328079
2021/9/1,361411
2021/9/2,338365
2021/9/3,290767
2021/9/4,280253
2021/9/5,334634
2021/9/6,296568
2021/9/7,287134
2021/9/8,235814
2021/9/9,907957
2021/9/10,552228
2021/9/11,484398
2021/9/12,501368
2021/9/13,327052
2021/9/14,347459
2021/9/15,306481
2021/9/16,320977
2021/9/17,313719
2021/9/18,281501
2021/9/19,327590
2021/9/20,336112
2021/9/21,323791
2021/9/22,341332
2021/9/23,446818
2021/9/24,440854
2021/9/25,437846
2021/9/26,453009
2021/9/27,381585
2021/9/28,373836
2021/9/29,276893
2021/9/30,193718
2021/10/1,378767
2021/10/2,332978
2021/10/3,334337
2021/10/4,365942
2021/10/5,415917
2021/10/6,407043
